gene1,gene2,lrt
ENSMUSG00000009378,ENSMUSG00000024887,17.635214658095038
ENSMUSG00000024766,ENSMUSG00000024887,38.36652972321792
ENSMUSG00000040565,ENSMUSG00000024887,37.26015066589093
ENSMUSG00000041731,ENSMUSG00000024887,44.02197629722991
ENSMUSG00000044026,ENSMUSG00000024887,58.09774876105803
ENSMUSG00000046138,ENSMUSG00000024887,13.33198293334408
ENSMUSG00000046324,ENSMUSG00000024887,26.878855442228996
ENSMUSG00000047298,ENSMUSG00000024887,29.62005745863803
ENSMUSG00000048120,ENSMUSG00000024887,44.915142796748
ENSMUSG00000048612,ENSMUSG00000024887,64.27238578877507
ENSMUSG00000049670,ENSMUSG00000024887,38.55386353782603
ENSMUSG00000050370,ENSMUSG00000024887,2.8135266541769397
ENSMUSG00000024771,ENSMUSG00000024887,4.259745790034913
ENSMUSG00000050957,ENSMUSG00000024887,28.081070834310026
ENSMUSG00000052085,ENSMUSG00000024887,78.48411294481707
ENSMUSG00000052595,ENSMUSG00000024887,0.230453564522918
ENSMUSG00000054178,ENSMUSG00000024887,44.11180077403003
ENSMUSG00000054237,ENSMUSG00000024887,38.43196411281008
ENSMUSG00000055044,ENSMUSG00000024887,30.249826316723897
ENSMUSG00000056078,ENSMUSG00000024887,39.14243450342906
ENSMUSG00000059363,ENSMUSG00000024887,20.883863233832017
ENSMUSG00000061132,ENSMUSG00000024887,88.91784582376306
ENSMUSG00000064202,ENSMUSG00000024887,13.566205565549012
ENSMUSG00000024774,ENSMUSG00000024887,18.395327401589043
ENSMUSG00000067242,ENSMUSG00000024887,55.340188571574004
ENSMUSG00000067279,ENSMUSG00000024887,53.70423468344802
ENSMUSG00000071573,ENSMUSG00000024887,15.319372311874986
ENSMUSG00000074896,ENSMUSG00000024887,5.24218770346306
ENSMUSG00000074922,ENSMUSG00000024887,21.558687789735018
ENSMUSG00000079339,ENSMUSG00000024887,10.683913507289049
ENSMUSG00000079344,ENSMUSG00000024887,35.9863008647751
ENSMUSG00000085003,ENSMUSG00000024887,35.24483995318292
ENSMUSG00000086812,ENSMUSG00000024887,20.105113123104047
ENSMUSG00000087112,ENSMUSG00000024887,36.82522835508507
ENSMUSG00000024776,ENSMUSG00000024887,8.72102537845808
ENSMUSG00000087303,ENSMUSG00000024887,33.359933988262014
ENSMUSG00000087579,ENSMUSG00000024887,31.93545200765402
ENSMUSG00000089952,ENSMUSG00000024887,60.39904299270995
ENSMUSG00000090369,ENSMUSG00000024887,23.53070285911099
ENSMUSG00000090673,ENSMUSG00000024887,21.8639612786111
ENSMUSG00000094707,ENSMUSG00000024887,49.685093029100926
ENSMUSG00000097558,ENSMUSG00000024887,11.063181130370026
ENSMUSG00000097787,ENSMUSG00000024887,0.4278256029770091
ENSMUSG00000097792,ENSMUSG00000024887,73.25544559402806
ENSMUSG00000097930,ENSMUSG00000024887,61.08504021258295
ENSMUSG00000024778,ENSMUSG00000024887,4.484482132614062
ENSMUSG00000024780,ENSMUSG00000024887,33.74226461342403
ENSMUSG00000012443,ENSMUSG00000024887,13.740447053942944
ENSMUSG00000024781,ENSMUSG00000024887,11.099532829168993
ENSMUSG00000024782,ENSMUSG00000024887,17.624496987845987
ENSMUSG00000024805,ENSMUSG00000024887,37.39864487720695
ENSMUSG00000024817,ENSMUSG00000024887,27.99668640990592
ENSMUSG00000024827,ENSMUSG00000024887,17.97592181980599
ENSMUSG00000024863,ENSMUSG00000024887,42.39175127205806
ENSMUSG00000024867,ENSMUSG00000024887,38.055443597454996
ENSMUSG00000024878,ENSMUSG00000024887,48.294091436883946
ENSMUSG00000024921,ENSMUSG00000024887,32.42664159596302
ENSMUSG00000013663,ENSMUSG00000024887,18.812517961249
ENSMUSG00000024935,ENSMUSG00000024887,9.313963160301
ENSMUSG00000024987,ENSMUSG00000024887,13.778751459341947
ENSMUSG00000024992,ENSMUSG00000024887,13.402477431238026
ENSMUSG00000024998,ENSMUSG00000024887,27.037397335316086
ENSMUSG00000024999,ENSMUSG00000024887,29.93341945326597
ENSMUSG00000025006,ENSMUSG00000024887,87.29620723736002
ENSMUSG00000025008,ENSMUSG00000024887,116.17968627152095
ENSMUSG00000025010,ENSMUSG00000024887,21.59007323998196
ENSMUSG00000025020,ENSMUSG00000024887,34.65264639960003
ENSMUSG00000025159,ENSMUSG00000024887,58.36933771404006
ENSMUSG00000016495,ENSMUSG00000024887,29.12818667388501
ENSMUSG00000025171,ENSMUSG00000024887,19.953746585345016
ENSMUSG00000025176,ENSMUSG00000024887,71.088357450731
ENSMUSG00000033207,ENSMUSG00000024887,17.58798172331808
ENSMUSG00000033610,ENSMUSG00000024887,9.097581895237909
ENSMUSG00000033863,ENSMUSG00000024887,17.258361147945948
ENSMUSG00000034321,ENSMUSG00000024887,42.135856283230964
ENSMUSG00000035049,ENSMUSG00000024887,34.63760413433806
ENSMUSG00000038658,ENSMUSG00000024887,56.89785482673801
ENSMUSG00000040105,ENSMUSG00000024887,40.769566406961076
ENSMUSG00000040451,ENSMUSG00000024887,1.7976771202909276
