value loglik
NA 19_18147123 -931.594768544319
NA 19_18147270 -931.494655019526
NA 19_18147416 -931.397462970844
NA 19_18170066 -931.303726447413
NA 19_18210494 -931.154340170254
NA 19_18211151 -931.0124089921
NA 19_18211808 -930.880397516165
NA 19_18224115 -930.758399415166
NA 19_18226843 -930.641021233707
NA 19_18229572 -930.482727249372
NA 19_18232300 -930.315924116511
NA 19_18235779 -930.141108039195
NA 19_18244123 -930.041581929642
NA 19_18252467 -929.962737208109
NA 19_18275473 -929.518671519296
NA 19_18288997 -929.380640632941
NA 19_18302521 -929.325533881771
NA 19_18316045 -929.255662628271
NA 19_18333753 -929.137037119688
NA 19_18357444 -929.037093395058
NA 19_18363542 -928.953464386164
NA 19_18369640 -928.888332307076
NA 19_18375737 -928.700777735534
NA 19_18381835 -928.736040139978
NA 19_18387932 -928.746632214547
NA 19_18660511 -927.774013597975
NA 19_18668463 -926.926247613808
NA 19_18676416 -923.244716089082
NA 19_18975648 -919.495712639443
NA 19_19274879 -919.354841969327
NA 19_19305304 -919.073148521841
NA 19_19335729 -918.91065840443
NA 19_19461226 -918.759489427704
NA 19_19464083 -918.628943229733
NA 19_19466941 -918.539731589306
NA 19_19537824 -918.491988177462
NA 19_19548156 -918.485416792864
NA 19_19558489 -918.519320188019
NA 19_19870145 -918.559162690912
NA 19_19874630 -918.565031739028
NA 19_19879115 -918.570153461078
NA 19_20125475 -918.588825057798
NA 19_20137919 -918.616492970389
NA 19_20150362 -918.649138526164
NA 19_20302600 -918.71011514385
NA 19_20303683 -918.782358682194
NA 19_20304765 -918.79860163629
NA 19_20626923 -918.708083814776
NA 19_20633442 -918.567374192337
NA 19_20639961 -918.426711000152
NA 19_20756178 -918.071703518674
NA 19_20775432 -917.651289438112
NA 19_20794687 -916.914926234244
NA 19_20796932 -916.250372847106
NA 19_20798905 -915.667782423175
NA 19_20801032 -915.176025045318
NA 19_20803231 -914.782239324579
NA 19_20805430 -914.491477226096
NA 19_20807629 -914.306451041617
NA 19_20902553 -914.296989106808
NA 19_20998510 -914.179017835752
NA 19_21094467 -915.16453502294
NA 19_21182134 -914.874532051105
NA 19_21270329 -914.801500740693
NA 19_21326896 -915.093515024622
NA 19_21332327 -915.146322162077
NA 19_21336729 -915.241891721469
NA 19_21341131 -915.377953031724
NA 19_21345533 -915.551463069486
NA 19_21349935 -915.758769523806
NA 19_21356079 -915.285169916276
NA 19_21515834 -913.794748985898
NA 19_21518274 -912.50781357875
NA 19_21520713 -911.545946212619
NA 19_21523152 -911.426397251704
NA 19_21533417 -911.314839039701
NA 19_21545048 -911.270460061262
NA 19_21727395 -911.135001115726
NA 19_21740049 -910.951064512898
NA 19_21752704 -910.785635799729
NA 19_21835817 -910.33708611
NA 19_21840919 -910.713479876162
NA 19_21846022 -910.43268737789
NA 19_21936950 -910.678838892829
NA 19_21970456 -911.062569961736
NA 19_22003963 -911.531553355261
NA 19_22156073 -911.646469143648
NA 19_22172322 -911.471744944563
NA 19_22187306 -911.278090412881
NA 19_22191696 -911.06210160131
NA 19_22195207 -910.862579855799
NA 19_22198718 -910.695748621041
NA 19_22202229 -910.550878156637
NA 19_22205740 -910.421661468043
NA 19_22209250 -910.308424557296
NA 19_22212761 -910.211433363619
NA 19_22216272 -910.130899682998
NA 19_22219783 -910.066972093982
NA 19_22223294 -910.019731564261
NA 19_22226805 -909.989197717864
NA 19_22230316 -909.958259458633
NA 19_22233827 -909.864526389186
NA 19_22237338 -909.720586963148
NA 19_22240848 -903.572890187693
NA 19_22244457 -903.44814722247
NA 19_22264004 -903.417521957588
NA 19_22288023 -903.408988824933
NA 19_22294213 -903.397324808037
