marker1 marker2 loglik
1 19_18147123 19_18147123 -907.547453311037
2 19_18147270 19_18147123 -907.474598474619
3 19_18147416 19_18147123 -907.406714528821
4 19_18170066 19_18147123 -907.343861626286
5 19_18210494 19_18147123 -907.215623625323
6 19_18211151 19_18147123 -907.083858276994
7 19_18211808 19_18147123 -906.95081082774
8 19_18224115 19_18147123 -906.804519886339
9 19_18226843 19_18147123 -906.692879580207
10 19_18229572 19_18147123 -906.79708296373
11 19_18232300 19_18147123 -906.926403187972
12 19_18235779 19_18147123 -907.067887263505
13 19_18244123 19_18147123 -906.981541174033
14 19_18252467 19_18147123 -906.881641516311
15 19_18275473 19_18147123 -906.703489464735
16 19_18288997 19_18147123 -906.800215214969
17 19_18302521 19_18147123 -906.877579011373
18 19_18316045 19_18147123 -906.963962227906
19 19_18333753 19_18147123 -907.064902400823
20 19_18357444 19_18147123 -907.109741814887
21 19_18363542 19_18147123 -907.149300357897
22 19_18369640 19_18147123 -907.187410439061
23 19_18375737 19_18147123 -907.119750249947
24 19_18381835 19_18147123 -907.114896262211
25 19_18387932 19_18147123 -907.256987076862
26 19_18660511 19_18147123 -907.280071912803
27 19_18668463 19_18147123 -907.326748353841
28 19_18676416 19_18147123 -907.857891282149
29 19_18975648 19_18147123 -908.514748663594
30 19_19274879 19_18147123 -908.58488202713
31 19_19305304 19_18147123 -908.543292849261
32 19_19335729 19_18147123 -908.444327718084
33 19_19461226 19_18147123 -908.495803857313
34 19_19464083 19_18147123 -908.558468867232
35 19_19466941 19_18147123 -908.62224752802
36 19_19537824 19_18147123 -908.686824173632
37 19_19548156 19_18147123 -908.751886129407
38 19_19558489 19_18147123 -908.817132563368
39 19_19870145 19_18147123 -908.569021282352
40 19_19874630 19_18147123 -908.569269194415
41 19_19879115 19_18147123 -908.57308650759
42 19_20125475 19_18147123 -908.579585672561
43 19_20137919 19_18147123 -908.585023902475
44 19_20150362 19_18147123 -908.589816110304
45 19_20302600 19_18147123 -908.563061713904
46 19_20303683 19_18147123 -908.528124959272
47 19_20304765 19_18147123 -908.484895960826
48 19_20626923 19_18147123 -908.34562858023
49 19_20633442 19_18147123 -908.23575946954
50 19_20639961 19_18147123 -908.145781914813
51 19_20756178 19_18147123 -907.986030409426
52 19_20775432 19_18147123 -907.814629461392
53 19_20794687 19_18147123 -907.807386480935
54 19_20796932 19_18147123 -907.800944635168
55 19_20798905 19_18147123 -907.795587302973
56 19_20801032 19_18147123 -907.791603061366
57 19_20803231 19_18147123 -907.789275359148
58 19_20805430 19_18147123 -907.788900318118
59 19_20807629 19_18147123 -907.790786456975
60 19_20902553 19_18147123 -908.454258091053
61 19_20998510 19_18147123 -908.502330309127
62 19_21094467 19_18147123 -908.847992123888
63 19_21182134 19_18147123 -908.858404847367
64 19_21270329 19_18147123 -908.881853989513
65 19_21326896 19_18147123 -908.936178975303
66 19_21332327 19_18147123 -908.927788812745
67 19_21336729 19_18147123 -908.911277308306
68 19_21341131 19_18147123 -908.887160852898
69 19_21345533 19_18147123 -908.856085726596
70 19_21349935 19_18147123 -908.818793776728
71 19_21356079 19_18147123 -908.848553811226
72 19_21515834 19_18147123 -908.649483921582
73 19_21518274 19_18147123 -908.406766539802
74 19_21520713 19_18147123 -908.197334704749
75 19_21523152 19_18147123 -908.151146647519
76 19_21533417 19_18147123 -908.102154200319
77 19_21545048 19_18147123 -908.057134186657
78 19_21727395 19_18147123 -908.028770148129
79 19_21740049 19_18147123 -908.001563518037
