Var1 Var2 loglik
1 19_28711861 19_28711861 -918.025347946786
2 19_28714631 19_28711861 -917.995184212626
3 19_28717401 19_28711861 -917.970293580662
4 19_28720171 19_28711861 -917.94682221092
5 19_28730951 19_28711861 -917.87400736343
6 19_28738709 19_28711861 -917.792728948764
7 19_28746466 19_28711861 -917.715542887654
8 19_28754224 19_28711861 -917.639826230849
9 19_28759411 19_28711861 -917.567004760401
10 19_28764166 19_28711861 -917.50088495167
11 19_28768921 19_28711861 -917.437180682224
12 19_28771409 19_28711861 -917.360928220214
13 19_28773513 19_28711861 -917.310744592272
14 19_28775617 19_28711861 -917.270826120633
15 19_28777722 19_28711861 -917.274015918638
16 19_28779826 19_28711861 -917.353140888633
17 19_28781930 19_28711861 -917.452330992353
18 19_28784034 19_28711861 -917.571129072943
19 19_28786138 19_28711861 -917.708844951369
20 19_28788242 19_28711861 -917.864572480986
21 19_28790346 19_28711861 -918.037212496662
22 19_28792691 19_28711861 -918.221947818484
23 19_28939708 19_28711861 -918.268260439353
24 19_28966461 19_28711861 -918.204964224414
25 19_28979138 19_28711861 -918.139527097004
26 19_28991815 19_28711861 -918.072674716748
27 19_29004492 19_28711861 -918.071195646781
28 19_29017169 19_28711861 -918.079170425665
29 19_29029846 19_28711861 -918.100027470345
30 19_29089975 19_28711861 -918.044896130202
31 19_29244528 19_28711861 -917.773381209709
32 19_29367672 19_28711861 -917.380495117091
33 19_29395445 19_28711861 -916.139747107046
34 19_29423219 19_28711861 -916.109446092017
35 19_29450992 19_28711861 -916.062164768295
36 19_29551490 19_28711861 -915.889188196345
37 19_29699985 19_28711861 -915.921825871033
38 19_29826905 19_28711861 -915.934329090083
39 19_29868828 19_28711861 -915.945262947728
40 19_29898206 19_28711861 -916.001779350058
41 19_29927583 19_28711861 -916.075610299755
42 19_29939649 19_28711861 -916.146651323563
43 19_29945780 19_28711861 -916.035526396482
44 19_29951911 19_28711861 -915.957831785694
45 19_29958042 19_28711861 -913.844887938211
46 19_30077227 19_28711861 -913.780214189748
47 19_30166670 19_28711861 -913.431062342511
48 19_30172106 19_28711861 -912.654052386348
49 19_30177542 19_28711861 -911.924219250985
50 19_30181155 19_28711861 -911.157013516103
51 19_30181489 19_28711861 -910.36823533187
52 19_30181824 19_28711861 -909.711142486071
53 19_30198765 19_28711861 -909.224678437998
54 19_30223345 19_28711861 -909.200672253917
55 19_30235407 19_28711861 -909.201596626502
56 19_30239974 19_28711861 -909.203565363854
57 19_30244541 19_28711861 -909.205651508965
58 19_30249108 19_28711861 -909.207876183605
